Jurisdicción,CUE Anexo,Nombre,Sector,Ámbito,Domicilio,CP,Código de área,Teléfono,Fecha alta,Cant. Alumnos,Asignación parcial ($),Asignación final ($),Promedio nota alumnos
Misiones,540003700,ESC. ADULTOS Nº 34,Estatal,Urbano,AVDA. SAN MARTIN S/Nº(RUTA PCIAL.Nº8)   AVDA. SAN MARTIN S/N°  FUNC. ESCUELA Nº616,N3379,3755,246372/15596319,30/09/1966,2540,"$  50.800,00","$  50.800,00",7
Santa Fe,820139102,C.E.R. NRO 552,Estatal,Rural,CAMPO MARINSALTA,S2500,3471,424869,10/09/1981,4906,"$  98.120,00","$  107.932,00",10
Tucumán,900083800,ESC. N° 278 HIPOLITO VIEYTES,Estatal,Rural,RUTA 304 GRAL. SAN MARTIN - KM 41 1/2,T4119,,381-6743701,24/01/1990,4871,"$  97.420,00","$  107.162,00",6
Neuquén,580126500,JARDÍN DE INFANTES 74,Estatal,Rural,9 DE ENERO AV,8311,299,491226,07/11/1963,3492,"$  69.840,00","$  76.824,00",3
Jujuy,380074100,ESCUELA NORMAL SUPERIOR JUAN IGNACIO GORRITI,Estatal,Urbano,INDEPENDENCIA 755 CENTRO,Y4600,388,155723089 / 4226792,11/08/1978,3752,"$  75.040,00","$  75.040,00",6
Santa Fe,820377600,ESCUELA PART. INC. NRO 1418 AGROECOLOGICA,Privado,Urbano,RUTA NRO 33 KM 637,S2600,3462,420543,02/08/1950,1777,"$  35.540,00","$  35.540,00",7
La Rioja,460052100,COLEGIO SECUNDARIO PROVINCIAL DE OLPAS,Estatal,Rural,CASTRO BARROS S/N°,F5275,,03826-497097C/P,20/02/1968,4486,"$  89.720,00","$  98.692,00",8
Santa Fe,820048300,JARDIN DE INFANTES PART. INC. NRO 1293 SAN JOSÉ,Privado,Urbano,PADRE ARNOLDO JANSSEN 2115,S3080,3496,420083,30/08/1979,4994,"$  99.880,00","$  99.880,00",10
Formosa,340104101,CBSR EPEP N° 334,Estatal,Rural,RUTA NACIONAL Nº 86   COLONIA EL CEIBAL,P3621,,,31/01/1978,2022,"$  40.440,00","$  44.484,00",9
Santa Fe,820060501,C.E.R. NRO 526 NUESTRA SEÑORA DE ITATI,Estatal,Urbano,RUTA NRO 53 - CAMPO MARCHETTI - LOTE N°34,S3553,3483,15403535,06/08/1990,3126,"$  62.520,00","$  62.520,00",8
Mendoza,500054700,GARCIA HURTADO DE MENDOZA,Estatal,Rural,GODOY CRUZ Y ANGELINO ARENAS,M5585,261,0,15/03/1995,4854,"$  97.080,00","$  106.788,00",4
Neuquén,580122200,CENTRO PROVINCIAL DE ENSEÑANZA MEDIA 91,Estatal,Rural,CARPINTERO GIGANTE  SIN DATO ESCUELA PRIMARIA 111,8403,294,479082,21/10/1972,4450,"$  89.000,00","$  97.900,00",6
Santiago del Estero,860038900,ESCUELA Nº 577 CIPRIANO GOMEZ,Estatal,Rural,VIVA MERCEDES   VIVA MERCEDES,G4203,,,13/07/1965,4531,"$  90.620,00","$  99.682,00",3
Formosa,340015800,EPEP N°264 PADRE GABRIEL GROTTI,Estatal,Rural,S/RUTA PROVINCIAL N° 2   MARTIN FIERRO,P3611,3718,459695,15/10/1979,2991,"$  59.820,00","$  65.802,00",6
Entre Ríos,300110200,EJERCITO ARGENTINO 53,Estatal,Rural,CAMINO VECINAL ENSANCHE SAUCE,E3228,,,23/06/1958,4087,"$  81.740,00","$  89.914,00",5
Buenos Aires,60475300,ESCUELA DE EDUCACIÓN PRIMARIA Nº42 BARTOLOME PARODI,Estatal,Rural,CUARTEL IX S/N,6407,2392,15-40-6766,16/09/1991,3641,"$  72.820,00","$  80.102,00",8
Santiago del Estero,860015000,ESCUELA N° 801 CRISTO REY,Estatal,Rural,Calle Publica    ESTACION CASARES,G2354,,,06/07/1967,1712,"$  34.240,00","$  37.664,00",10
Córdoba,140008400,CONGRESO DE TUCUMAN,Estatal,Rural,CALLE PUBLICA   SEDE DE INSPECCIÓN,X5101,3576,15522190,30/06/1994,2992,"$  59.840,00","$  65.824,00",7
Tucumán,900083300,ESC. N°152 DR.PEDRO MIGUEL ARAOZ,Estatal,Rural,El Naranjo   EL NARANJO,T4117,,,07/06/1969,4981,"$  99.620,00","$  109.582,00",5
Chubut,260082000,JARDIN MATERNAL Y DE INFANTES YSGOL GYMRAEG SBAENEG,Privado,Urbano,RIO CORINTO Y CACIQUE NAHUELPAN,9203,2945,15551566,06/01/1993,3239,"$  64.780,00","$  64.780,00",6
Santa Fe,820236300,ESCUELA NRO 35 GOBERNADOR MARIANO CABAL,Estatal,Rural,SAN MARTIN 337,S3092,3497,493039*3196,13/08/1978,2551,"$  51.020,00","$  56.122,00",6
Santa Fe,820405800,ESCUELA ESPECIAL NRO 2118 PARA SORDOS E HIPOACUSICOS,Estatal,Urbano,DORREGO 1422,S2200,3476,435461,20/12/1956,3129,"$  62.580,00","$  62.580,00",7
Santiago del Estero,860193806,AGRUPAMIENTO Nº 86138 ESC Nº 103,Estatal,Rural,Calle Publica   LOMITAS,G4200,1,1,28/08/1949,3791,"$  75.820,00","$  83.402,00",4
Ciudad de Buenos Aires,20038600,PROVINCIA DE JUJUY,Estatal,Urbano,OBRERO ROBERTO NUÑEZ 4355 ALMAGRO,C1182,11,4862-4789,10/10/1955,4987,"$  99.740,00","$  99.740,00",9
Misiones,540003401,Aula Sat. Nº 01: ESC. Nº 89,Estatal,Rural,RUTA PCIAL. Nº 204    RUTA PCIAL. Nº 204,N3304,376,154362049,24/02/1952,2864,"$  57.280,00","$  63.008,00",3
Buenos Aires,60191300,ESCUELA DE EDUCACIÓN PRIMARIA Nº97 JUANA MANSO DE NORONHA,Estatal,Urbano,AVELINO DIAZ Y TIERRA 500  VTE LOPEZ,1772,11,4462-4514,26/07/1949,2309,"$  46.180,00","$  46.180,00",8
Mendoza,500032602,SANTE ERMINIO ARBOIT,Estatal,Rural,San Juan s/n,5579,263,154477706,24/05/1955,2710,"$  54.200,00","$  59.620,00",9
Santiago del Estero,860196902,AGRUPAMIENTO Nº 86104 ESC. Nº 1197,Estatal,Rural,JUMIALITO,G4300,,,27/11/1989,3838,"$  76.760,00","$  84.436,00",3
Mendoza,500135800,INST. DE FOR.DOCENTE GRAL.J.DE SAN MARTIN (9-001),Estatal,Urbano,CHUBUT 110 CIRCULO MEDICO I,M5570,263,4420888,22/10/1965,3857,"$  77.140,00","$  77.140,00",8
Mendoza,500044300,VICENTE ORTIZ,Estatal,Rural,02622-1577277 RUTA NAC.40 KM.3186,M5569,2622,446353 d,04/01/1952,2190,"$  43.800,00","$  48.180,00",4
Santiago del Estero,860145600,CENTRO COMUNITARIO RURAL EVANGELICO,Privado,Rural,RUTA PROVINCIAL N°18    BREA POZO,G4313,385,156885280,19/12/1951,2986,"$  59.720,00","$  65.692,00",4
Córdoba,140074002,ESCUELA NOCTURNA REPUBLICA DE CHILE EXTENSION AULICA Bº MARQUES DE SOBREMONTE,Estatal,Urbano,PEREZ CORREA 1500 MARQUEZ DE SOBREMONTE ANEXO,X5008,0,0,19/08/1956,4200,"$  84.000,00","$  84.000,00",6
Tucumán,900182900,INST. PETER PAN,Privado,Urbano,Las Heras 421,T4000,0,4244447,26/09/1950,3603,"$  72.060,00","$  72.060,00",4
Santa Fe,820400100,JARDIN DE INFANTES NRO 232,Estatal,Urbano,AVENIDA CASIANO CASAS 1050 PARQUE CASAS,S2000,341,4726547,04/07/1961,4656,"$  93.120,00","$  93.120,00",4
Jujuy,380019400,ESCUELA ESPECIAL N 11 PROF. LUIS BRAILLE,Estatal,Urbano,RIO ATHUEL 485 SAN IGNACIO DE LOYOLA,Y4612,388,4277444,24/05/1993,2327,"$  46.540,00","$  46.540,00",3
La Rioja,460047700,ESC.N°255 DR.JOAQUIN V.GONZALEZ,Estatal,Urbano,ROQUE SAENZ PEÑA S/N° KOLPING,F5470,,03821-429136,12/06/1968,4957,"$  99.140,00","$  99.140,00",8
Santa Fe,820019700,ESCUELA ESPECIAL NRO 2028 PROFESORA RAQUEL PIETRANERA,Estatal,Urbano,25 DE MAYO 2379 CENTRO,S3000,342,4572913,20/07/1957,1739,"$  34.780,00","$  34.780,00",7
Ciudad de Buenos Aires,20125500,TOMAS MANUEL DE ANCHORENA,Estatal,Urbano,DR. TOMAS MANUEL DE ANCHORENA 855 BALVANERA,C1170,11,4961-3386,09/01/1977,3245,"$  64.900,00","$  64.900,00",4
La Pampa,420046602,J.I.N. Nº 16 en Escuela Nº 196,Estatal,Urbano,25 de mayo 0237,L6221,2302,481186,22/06/1979,2153,"$  43.060,00","$  43.060,00",8
Santa Cruz,780008800,ESCUELA PRIMARIA PROVINCIAL Nº 55 VAPOR TRANSPORTE VILLARINO,Estatal,Urbano,AV. PRESIDENTE PERON 454,Z9400,2966,427497,20/05/1950,2497,"$  49.940,00","$  49.940,00",10
Santa Fe,820139600,JARDIN DE INFANTES NRO 77 JUAN RODOLFO BOLLA,Estatal,Urbano,SARGENTO CABRAL 1325 EL FORTIN,S2506,3471,492020,12/05/1990,2382,"$  47.640,00","$  47.640,00",9
Entre Ríos,300108600,OLEGARIO V.ANDRADE TECNICA 2,Estatal,Urbano,ALFREDO PALACIOS 83,E2840,3444,423467,30/01/1969,4552,"$  91.040,00","$  91.040,00",5
Jujuy,380093600,COLEGIO NUEVO HORIZONTE N 1,Social/cooperativa,Urbano,MNA AP 27 LOTE 6  47 HECT. ALTO COMEDERO,4600,388,4054190,14/12/1952,3209,"$  64.180,00","$  64.180,00",3
San Luis,740071000,ESCUELA DE NIVEL INICIAL Nº 9 SEÑORA CHABELA,Estatal,Urbano,PEDERNERA 1638,6277,266,4452000,12/11/1951,1920,"$  38.400,00","$  38.400,00",5
Santa Fe,820303716,CE.C.LA. S/N NUEVA ROMA,Estatal,Urbano,MENDOZA 1585 NUEVA ROMA,S2170,3464,426080,25/04/1984,3135,"$  62.700,00","$  62.700,00",3
Santa Fe,820254300,E.E.S. ORIENTADA NRO 330 REPÚBLICA DE GRECIA,Estatal,Urbano,AVENIDA SAN MARTIN 2050 CENTRO RUTA NAC.N 11,S2152,341,4710320,28/09/1983,2134,"$  42.680,00","$  42.680,00",8
Río Negro,620101442,CENTRO EDUCATIVO PARA JOVENES Y ADULTOS,Estatal,Rural,LOS COIRONES Y AIMÉ PAINÉ,R8412,,,06/08/1982,4790,"$  95.800,00","$  105.380,00",7
Santa Fe,820323301,C.E.R. NRO 280 GOBERNADOR IGNACIO CRESPO,Estatal,Rural,ZONA RURAL,S3015,3404,460068,25/12/1985,3864,"$  77.280,00","$  85.008,00",5
Santa Fe,820120100,ESCUELA NRO 935 AVELINO MENDOZA,Estatal,Rural,CAMPO MENDOZA,S3567,3482,15666189,04/05/1952,4331,"$  86.620,00","$  95.282,00",10
Santa Fe,820428500,E.E.S. ORIENTADA NRO 504 MARGARITA BOCHETTO,Estatal,Rural,DOMINGO FAUSTINO SARMIENTO 245,S2301,3492,482240,22/04/1970,3465,"$  69.300,00","$  76.230,00",6
Buenos Aires,60380200,ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº1 JULIO A. ROCA,Estatal,Urbano,PASEO LUIS F. LELOIR / AV. DEL PARQUE 907,7607,2291,43-3311,26/10/1990,4195,"$  83.900,00","$  83.900,00",3
Ciudad de Buenos Aires,20081600,EI Nº 06 DE 06 (HOSP. RAMOS MEJIA),Estatal,Urbano,VENEZUELA 3158 BALVANERA,C1211,11,4957-7973,06/11/1966,3813,"$  76.260,00","$  76.260,00",8
Buenos Aires,60125800,ESCUELA DE EDUCACIÓN PRIMARIA Nº16 25 DE MAYO,Estatal,Rural,21 E/ 41 Y42. S/N  LUCAS MONTEVERE,6660,2345,439408,17/01/1977,4988,"$  99.760,00","$  109.736,00",5
Santa Fe,820152600,ESCUELA NRO 148 BERNARDO MONTEAGUDO,Estatal,Rural,SARMIENTO Y BELGRANO S/N,S2119,3402,461512,28/02/1960,1863,"$  37.260,00","$  40.986,00",4
Entre Ríos,300056900,JUAN ZORRILLA DE SAN MARTIN 109,Estatal,Rural,CALLE 9,E2821,0,0,26/11/1984,2809,"$  56.180,00","$  61.798,00",3
Formosa,340032300,EPEP Nº203 CIUDAD DE LUJAN,Estatal,Rural,CIRILO PATIÑO   BANCO PAYAGUA,P3601,,,01/01/1969,1608,"$  32.160,00","$  35.376,00",4
Mendoza,500089500,MANUEL VIDELA,Estatal,Urbano,SOLARI S/N VILLA GRACIELA NAHUEL HUAPI Y SOLARI,M5525,261,4910044,26/10/1950,1551,"$  31.020,00","$  31.020,00",6
Misiones,540116103,Aula Sat. Nº 03: ESC. Nº 120,Estatal,Urbano,CAMINO VEC.INTERSEC.Ruta Nac.15- KM 18   PARAJE EL CEIBO- RUTA 15- KM. 18,N3364,3755,491720/640423/15430103,14/06/1961,4959,"$  99.180,00","$  99.180,00",3
Mendoza,500154100,CRECER JUNTOS,Social/cooperativa,Urbano,TERRADA S/N LA GLORIA TERRADA Y CARRODILLA,M5501,,4-361725,12/10/1977,3162,"$  63.240,00","$  63.240,00",3
Buenos Aires,60336700,CENTRO DE ADULTOS Nº701 MARIANO MORENO,Estatal,Urbano,ITALIA 395,7263,,,17/10/1966,4229,"$  84.580,00","$  84.580,00",9
Corrientes,180082700,ESCUELA PRIMARIA Nº 441,Estatal,Rural,PAGO ARIAS,W3420,3782,439695,02/06/1983,2985,"$  59.700,00","$  65.670,00",4
Jujuy,380007000,ESCUELA N 309 PEDRO ORTIZ DE ZARATE,Estatal,Rural,RUTA N 6  CENTRO,Y4501,388,4470001,11/05/1968,1736,"$  34.720,00","$  38.192,00",10
Misiones,540152200,ESC. ESPECIAL Nº 48 (Ex Aula Sat. Esc. Especial Nº 05),Estatal,Urbano,Juan Domingo Perón  30 Viviendas J.D.Perón y Ucrania,N3307,376,154100385,14/02/1958,4320,"$  86.400,00","$  86.400,00",9
Córdoba,140066300,ESCUELA JOSE MARIA PAZ,Estatal,Rural,CALLE PUBLICA   BELEN P/SARMIENTO,X5221,3525,15643901,29/03/1958,3683,"$  73.660,00","$  81.026,00",9
La Rioja,460076600,CENTRO PROVINCIAL DE EDUCACION FISICA N°5,Estatal,Urbano,AVDA.ORTIZ DE OCAMPO 1751 CENTRO,F5300,,0380-4425583,19/10/1983,2824,"$  56.480,00","$  56.480,00",7
Entre Ríos,300056700,VICENTE LOPEZ Y PLANES 1,Estatal,Urbano,ANTELO 625,E3180,3454,421045,12/02/1961,4281,"$  85.620,00","$  85.620,00",7
Jujuy,380072600,HOGAR ESCUELA N 1 JOSE DE LA IGLESIA,Estatal,Urbano,AV. ESPAÑA 1660 CENTRO,Y4600,388,4227313,28/12/1978,2250,"$  45.000,00","$  45.000,00",3
Jujuy,380080800,ESCUELA PROVINCIAL AGROTECNICA N 5,Estatal,Urbano,JOSE MARIA FASCIO  CENTRO,Y4506,1,1,17/10/1967,3625,"$  72.500,00","$  72.500,00",3
Santa Fe,820215300,JARDIN DE INFANTES NRO 127 JUAN CHARA,Estatal,Urbano,CALLE 37 ESQUINA 14,S3586,3482,451376,04/06/1954,4113,"$  82.260,00","$  82.260,00",5
Mendoza,500268800,CENTRO DE APOYO EDUCATIVO NIÑO JESUS DE PRAGA,Social/cooperativa,Urbano,LA GLORIA S/N   FINCA ATAMISQUI,5561,2622,15466073,28/01/1983,4307,"$  86.140,00","$  86.140,00",9
Santa Fe,820379400,NRO 2053 COLEGIO MAYOR UNIVERSITARIO,Privado,Urbano,SAN JERONIMO 3328,S3000,342,4534198,01/03/1983,2569,"$  51.380,00","$  51.380,00",7
Corrientes,180020400,ESCUELA PRIMARIA Nº 714,Estatal,Rural,SARANDI- 1º SECCION,W3194,0,0,16/10/1967,4362,"$  87.240,00","$  95.964,00",8
Formosa,340001900,EPEP N° 55 DR. MARIANO BOEDO,Estatal,Rural,MARIANO BOEDO,P3604,,434243,02/01/1979,3927,"$  78.540,00","$  86.394,00",6
Santa Fe,820202500,E.E.S. ORIENTADA NRO 374 MAESTRO CARLOS ALBERTO LEIVA,Estatal,Urbano,GABOTO 703,S2204,3476,495151,09/01/1968,4022,"$  80.440,00","$  80.440,00",10
La Pampa,420096400,Jardin Maternal y de Infantes Nenos,Privado,Urbano,Urquiza 675 Centro,6300,2954,15612388,07/06/1955,1635,"$  32.700,00","$  32.700,00",7
Mendoza,500081900,MARIA C. BASAURE DE MARTINEZ,Estatal,Urbano,CADETES CHILENOS 688 SANTA ELVIRA LAS CAÑAS,M5519,,4-222230,23/12/1952,4142,"$  82.840,00","$  82.840,00",3
Misiones,540100000,ESC. Nº 310: BRIGADIER GRAL. JUAN MANUEL DE ROSAS,Estatal,Urbano,NUEVO BARRIO NUEVO,N3328,3764,15352713/3743541076,06/03/1995,2592,"$  51.840,00","$  51.840,00",4
Santa Fe,820165101,C.E.R. NRO 412,Estatal,Rural,ESTANCIA LA MARGARITA,S3060,3491,470229,08/09/1978,2767,"$  55.340,00","$  60.874,00",3
Santiago del Estero,860194100,CENTRO DE ATENCION MULTIPLE LOS TELARES - SALAVINA,Estatal,Urbano,AV. JUSTICIALISTA  Santa Rita,G4321,,,08/08/1986,1710,"$  34.200,00","$  34.200,00",10
Buenos Aires,60543000,JARDÍN DE INFANTES Nº901 CONSTANCIO C VIGIL,Estatal,Urbano,8 ENTRE 13 Y 14 2462,7105,2257,520417,09/09/1992,4701,"$  94.020,00","$  94.020,00",5
Corrientes,180020900,ESCUELA PRIMARIA P/ADOLESC.Y ADULTOS Nº 51,Estatal,Urbano,JULIO ARGENTINO ROCA  BARRIO 202,W3342,3756,448431,21/06/1991,4178,"$  83.560,00","$  83.560,00",3
Catamarca,100013100,ESCUELA N° 155,Estatal,Rural,SINGUIL,K4711,,,17/08/1970,4910,"$  98.200,00","$  108.020,00",8
Mendoza,500277000,IPPD INNOVATIO 2535,Privado,Urbano,AVELLANEDA  351,5600,261,4418003,26/10/1950,2260,"$  45.200,00","$  45.200,00",9
Chubut,260052501,ANEXO ESCUELA Nº451,Estatal,Urbano,Trevelin Norte  736 Inta,9100,280,4446300,21/05/1962,3701,"$  74.020,00","$  74.020,00",4
Santiago del Estero,860010000,ESCUELA Nº518,Estatal,Rural,HUAICO HONDO   A 48 KM.AL N.O DE LA CAP.X RUTA 9 ENTRANDO X CAM. VECINAL,G4200,,,22/10/1993,4299,"$  85.980,00","$  94.578,00",3
Tucumán,900042400,ESC. DOMICILIARIA ELIZABETH KENNY,Estatal,Urbano,CHARCAS 82  PREDIO FERIAL NORTE,T4000,381,4213081,01/06/1976,4674,"$  93.480,00","$  93.480,00",8
Santa Fe,820392008,CENTRO DE ALFABETIZACION NRO 310,Estatal,Urbano,RUTA 19 - KM 3;5   FUNDACION RENACER,S3016,0,0,22/08/1969,4098,"$  81.960,00","$  81.960,00",5
Mendoza,500277900,ARCO IRIS,Social/cooperativa,Rural,Angelino Arenas s/n   Angelino Arenas y Godoy Cruz,5585,2634,15504468,14/07/1952,4289,"$  85.780,00","$  94.358,00",7
Buenos Aires,60057900,ESCUELA DE EDUCACIÓN PRIMARIA Nº12 MARIANO MORENO,Estatal,Rural,SECCION RURAL S/N  HUSARES,6455,2355,15-52-1420,30/06/1990,3747,"$  74.940,00","$  82.434,00",3
Misiones,540176800,B.O.P. Nº 81,Estatal,Rural,ANDRES MARTIN ZUCOWSKI S/N  CENTRO,3313,376,4617980/4717253,23/03/1968,4699,"$  93.980,00","$  103.378,00",4
Santa Fe,820012300,ESCUELA NRO 57 JUANA ELENA BLANCO,Estatal,Urbano,PASCO 453 REPUBLICA DE LA SEXTA,S2000,341,4728672,06/06/1955,4701,"$  94.020,00","$  94.020,00",7
Santa Fe,820297202,C.E.R. NRO 637,Estatal,Rural,CAMPO BARATTI,S2222,3476,497046,16/07/1955,3601,"$  72.020,00","$  79.222,00",7
Buenos Aires,60360700,ESCUELA DE EDUCACIÓN PRIMARIA Nº30 PBRO. VICENTE MONTE CARBALLO,Estatal,Urbano,EL PICAFLOR S/N  BARRIO SAN ANTONIO,6700,2323,42-7508,09/10/1983,4407,"$  88.140,00","$  88.140,00",9
Buenos Aires,60371300,JARDÍN DE INFANTES Nº923 DR. JUAN GRECO,Estatal,Urbano,156 E/ 8 Y 9 856  VILLA OLIVERO,1884,11,4226-4006,20/05/1954,2312,"$  46.240,00","$  46.240,00",5
Santa Fe,820415200,JARDIN DE INFANTES NRO 264 EL HORNERITO,Estatal,Rural,SARMIENTO 333,S2176,3465,491500,12/05/1983,4938,"$  98.760,00","$  108.636,00",7
Tucumán,900006200,ESC. EL PUESTITO DE ARRIBA,Estatal,Rural,EL PUESTITO DE ARRIBA,T4119,0,3815459511,28/01/1962,1606,"$  32.120,00","$  35.332,00",3
Santa Fe,820410800,JARDIN DE INFANTES NRO 259 LIBERTAD E INDEPENDENCIA,Estatal,Urbano,WARNES 1002 SARMIENTO,S2000,341,4726578,27/02/1992,2610,"$  52.200,00","$  52.200,00",5
Mendoza,500113201,BLAS PARERA,Estatal,Urbano,PUBLICA 7 SAN GABRIEL TICLE Y CALLE PUBLICA N° 7,M5572,261,0,11/02/1971,3720,"$  74.400,00","$  74.400,00",4
Santiago del Estero,860097400,ESCUELA N° 302 NACHI GOMEZ / JI 824,Estatal,Rural,LA SALVACION   LA SALVACION,G3714,,,28/05/1968,4388,"$  87.760,00","$  96.536,00",7
Buenos Aires,60042200,JARDÍN DE INFANTES NUESTRA SEÑORA DE LA MERCED,Privado,Urbano,JUNIN E/ TRES DE FEBRERO Y J.C.PAZ 260,1651,11,4755-1388,06/02/1982,4350,"$  87.000,00","$  87.000,00",6
Buenos Aires,60074300,ESCUELA DE ADULTOS Nº709 BENITO LINCH,Estatal,Rural,BUENOS AIRES Y RUTA PCIAL.53 KM.15.500 S/N  LA CAPILLA,1888,225,49-8005,04/02/1954,3197,"$  63.940,00","$  70.334,00",10
Santiago del Estero,860154300,ESCUELA PARA ADULTOS Nº6 LEOPOLDO HERRERA,Estatal,Urbano,Avda. Victor Yunes   Siglo XXI,G4200,,,05/08/1995,1528,"$  30.560,00","$  30.560,00",5
Santa Fe,820215200,ESCUELA NRO 318 BERNARDO O'HIGGINS,Estatal,Rural,CAMPO STANGAFERRO,S3592,3482,451024,27/05/1964,1741,"$  34.820,00","$  38.302,00",9
Mendoza,500230300,ESCUELA Nº 3-501 (C.E.N.S.),Estatal,Urbano,YAPEYU AYACUCHO Y SALTA S/N,M5539,,,05/08/1977,2985,"$  59.700,00","$  59.700,00",3
Buenos Aires,60318800,JARDÍN DE INFANTES MARCELINO,Privado,Urbano,MANSILLA Y SASTRE (VILLA MARISTA)   VILLA MARISTA,7600,223,479-4877,17/07/1974,2988,"$  59.760,00","$  59.760,00",9
Entre Ríos,300068500,EL ARRIERO 85,Estatal,Rural,ZONA RURAL EL PINGO,E3132,,,22/01/1964,4207,"$  84.140,00","$  92.554,00",10
Río Negro,620042700,ESCUELA SECUNDARIA RIO NEGRO NRO. 2 FUNDACION SARA M.FURMAN,Estatal,Urbano,CERRO OTTO 865 RAYEN MAPU,R8400,294,441435,27/07/1955,4892,"$  97.840,00","$  97.840,00",7
Ciudad de Buenos Aires,20030200,CNEL CARLOS TOMAS SOURIGUES,Estatal,Urbano,DR. JUAN FELIPE ARANGUREN 2400 FLORES,C1406,11,4613-2865,17/05/1978,2304,"$  46.080,00","$  46.080,00",6
Mendoza,500270600,INGENIERO GIAGNONI,Social/cooperativa,Rural,MILORDO Y ABRUZZESE,5582,263,4288157,07/10/1966,1874,"$  37.480,00","$  41.228,00",4
Salta,660052600,COLEGIO SECUNDARIO BATALLA DE SALTA EX N° 34,Estatal,Urbano,HOUSSAY 599 CASTAÑARES,A4400,387,4250357,15/02/1982,2075,"$  41.500,00","$  41.500,00",5
Santa Fe,820308500,ESCUELA ESPECIAL NRO 2039,Estatal,Urbano,REMEDIOS ESCALADA DE SAN MARTIN 402 MALVINAS ARGENTINAS,S2340,3491,420723,10/11/1983,2901,"$  58.020,00","$  58.020,00",4
San Juan,700086900,JARDIN MATERNAL PICARDIAS,Privado,Urbano,RASTREADOR CALIVAR 542 (S) 542,,,,08/12/1976,2069,"$  41.380,00","$  41.380,00",4
Mendoza,500039500,MAESTRO ALBERTO RODOLFO ACEVEDO,Estatal,Rural,LA REDUCCION S/N,M5579,263,4533306,09/04/1963,3548,"$  70.960,00","$  78.056,00",5
Santa Fe,820023808,C.E.P.A. NRO 150,Estatal,Urbano,SAENZ PEÑA 105,S2609,3462,480347,20/05/1994,1945,"$  38.900,00","$  38.900,00",4
Mendoza,500195201,MERCEDES SOSA,Estatal,Urbano,LATERAL S ACCESO ESTE (Universidad Maza),5519,261,4456877,20/08/1950,4649,"$  92.980,00","$  92.980,00",10
Santiago del Estero,860175900,JARDIN DE INFANTES PRIVADO HUILEN,Privado,Urbano,Avellaneda 536 Parque Entre Olaechea y Av. Roca,G4200,385,4213124,05/12/1955,4732,"$  94.640,00","$  94.640,00",7
Río Negro,620026600,ESCUELA PRIMARIA NRO.275 VIALIDAD NACIONAL,Estatal,Urbano,3 DE FEBRERO 2559 AEROCLUB EEBA 1 CTRO. 4,R8332,298,4436103,22/12/1981,2762,"$  55.240,00","$  55.240,00",3
Mendoza,500205800,FRANCISCO MIGUEL MANZANO (ESC. 1-273),Estatal,Rural,0261-155985808 LA RIOJITA-RUTA 92-KM.14 S/N,M5565,,02622-492400,27/05/1969,3575,"$  71.500,00","$  78.650,00",10
Chaco,220026900,E.E.S. Nº 86 - BRIGADIER GRAL. C.SAAVEDRA (CEP Nº 86),Estatal,Rural,Planta Urbana,H3515,,,14/12/1949,3980,"$  79.600,00","$  87.560,00",5
Río Negro,620064903,CENTRO DE EDUCACION BASICA PARA ADULTOS NRO.21,Estatal,Urbano,AV. CACIQUE CATRIEL 777  ESC PRIA 281,R8307,,,07/10/1991,3990,"$  79.800,00","$  79.800,00",5
La Rioja,460022300,E.P.E.T. N°2 BRIGADIER GENERAL JUAN FACUNDO QUIROGA,Estatal,Urbano,AVDA.JUAN DOMINGO PERON 820 CENTRO,F5300,,0380-4468520,14/06/1951,3608,"$  72.160,00","$  72.160,00",7
Tucumán,900028300,ESC. N° 318 - MARCOS SASTRE,Estatal,Rural,ESCABA DE ARRIBA,T4158,,,23/07/1995,1815,"$  36.300,00","$  39.930,00",7
Santa Fe,820373000,E.E.M.P.A. NRO 1238 RAUL SCALABRINI ORTIZ,Estatal,Urbano,GENERAL MITRE 1350,S2146,3401,448222,22/04/1982,4778,"$  95.560,00","$  95.560,00",10
Santa Fe,820132000,ESCUELA ESPECIAL DE FORMACION LABORAL NRO 2060,Estatal,Urbano,CALLE 17 981 LOURDES,S3561,3482,483027,06/07/1968,4380,"$  87.600,00","$  87.600,00",4
Santa Fe,820205700,ESCUELA PART. INC. NRO 1039 SAN FRANCISCO,Privado,Rural,PLANTA URBANA S/N,S6106,3382,498017,27/12/1993,3845,"$  76.900,00","$  84.590,00",10
Misiones,540146500,ESC. ADULTOS Nº 63,Estatal,Urbano,BOUCEVARO SAN ISIDRO  SAN ISIDRO -( YACYRETA),N3300,3764,565838,07/11/1990,4658,"$  93.160,00","$  93.160,00",3
Formosa,340026609,NEP Y FP Nº20 - EPEP Nº455,Estatal,Rural,EPEP Nº455,P3636,,,24/09/1960,4893,"$  97.860,00","$  107.646,00",10
Neuquén,580012600,ESCUELA PRIMARIA 132 CEFERINO NAMUNCURA,Estatal,Urbano,PURRAN CACIQUE 499 LA SIRENA,8300,299,4487652,15/06/1972,3654,"$  73.080,00","$  73.080,00",3
Chaco,220031300,E.E.P. Nº  806,Estatal,Rural,LEGUA A-LOTE 50-PJE.ALTA ESPERANZA,H3714,3877,495392,14/04/1962,3885,"$  77.700,00","$  85.470,00",5
